--------- beginning of main
08-16 22:21:09.970 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"has_pending_call":false,"has_active_call":false}'
08-16 22:21:10.005 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"status":200,"ok":true}'
08-16 22:21:10.209 I/ReactNativeJS(16860): '[COMPANION_HANDLER]', '{"event":"COMPANION_START_VOICE_ENTER","auto_mode":true,"target":"main","armed":false,"recording":false,"in_flight_start":true,"in_flight_stop":false}'
08-16 22:21:10.210 I/ReactNativeJS(16860): '[COMPANION_HANDLER]', '{"event":"COMPANION_START_VOICE_BLOCKED","reason":"busy","armed":false,"recording":false,"in_flight_start":true,"in_flight_stop":false}'
08-16 22:21:10.270 I/ReactNativeJS(16860): '[COMPANION_HANDLER]', '{"event":"COMPANION_START_VOICE_ENTER","auto_mode":true,"target":"main","armed":false,"recording":false,"in_flight_start":true,"in_flight_stop":false}'
08-16 22:21:10.270 I/ReactNativeJS(16860): '[COMPANION_HANDLER]', '{"event":"COMPANION_START_VOICE_BLOCKED","reason":"busy","armed":false,"recording":false,"in_flight_start":true,"in_flight_stop":false}'
08-16 22:21:12.486 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"has_pending_call":false,"has_active_call":false}'
08-16 22:21:12.527 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"status":200,"ok":true}'
08-16 22:21:15.001 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"has_pending_call":false,"has_active_call":false}'
08-16 22:21:15.055 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"status":200,"ok":true}'
08-16 22:21:17.513 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"has_pending_call":false,"has_active_call":false}'
08-16 22:21:17.566 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"status":200,"ok":true}'
08-16 22:21:20.025 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"has_pending_call":false,"has_active_call":false}'
08-16 22:21:20.056 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"status":200,"ok":true}'
08-16 22:21:22.544 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_START","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"has_pending_call":false,"has_active_call":false}'
08-16 22:21:22.585 I/ReactNativeJS(16860): '[VoIPPendingIncoming]', '{"event":"REQUEST_RESULT","source":"pending_call_poll","token_summary":"len:193:eyJhbG...UZUPes","user_id":13,"status":200,"ok":true}'
